Polygon
"-0.4905697,51.4779529 -0.4905697,51.477151 -0.434585,51.477284 -0.434585,51.478084"
"-0.434585,51.478084 -0.433244,51.478101 -0.433174,51.475796 -0.434574,51.475796"
"-0.434585,51.476330 -0.434585,51.475779 -0.490623,51.475560 -0.4905697,51.476074"
"-0.486738,51.467547 -0.486738,51.466374 -0.434357,51.466523 -0.434357,51.467697"
"-0.488041,51.467535 -0.486738,51.467535 -0.486738,51.464436 -0.488041,51.464436"
"-0.486738,51.465113 -0.486738,51.464436 -0.434096,51.464574 -0.434053,51.465325"
"-0.445384,51.474615 -0.441280,51.474615 -0.441280,51.468961 -0.445384,51.468961"
